Number Description;i_Grossbuchstabe;i_Ziffer;d_Hauptberuf_m;d_Hauptberuf_w;d_Hauptberuf;high;medium;low;unskilled;intermediate;share high;share medium;share low;share unskilled
Gast- und Schankwirtschaft;C;27;188817;167085;355902;0;133943;53585;168374;0.00%;0.00%;37.63%;15.06%;47.31%
Häusliche Dienste (Aufwartefrauen, nicht ihrer Herrschaft wohnenden Dienende für häusliche Dienste);D;1;26811;175391;202202;0;0;202202;0;0.00%;0.00%;0.00%;100.00%;0.00%
Lohnarbeit wechselnder Art;D;2;86483;33798;120281;0;0;120281;0;0.00%;0.00%;0.00%;100.00%;0.00%
Armee- und Kriegsflotte, auch Armee- und Marineverwaltung (einschließlich Militärärzte): a) Offiziere und Beamte mit gleichstehenden Range, b) Unteroffiziere und Gemeine (auch Verwaltungspersonal vom gleichen Range).;E;1;380471;0;380471;20545;0;359926;0;0.00%;5.40%;0.00%;94.60%;0.00%
Hofstaat, Diplomatie, Reichs-, Staats-, Bezirks-, Gemeinde-, standesherrliche und grundherrliche Verwaltung, sowie Rechtspflege einschließlich Aufsichts- und Dienstpersonal in Gefängnissen, Straf- und Besserungs-, in Armen- und Wohltätigkeitsanstalten: (Beim Forst- und Jagdwesen, beim Bergbau, Hütten- und Salinenwesen, beim Hoch-, Weg- und Wasserbau, beim Post-, Telegraphen- und Eisenbahnwesen, beim Hafen- und Lotsendienst, sowie bei anderen Gewerben angestellte Beamte sind diesen Gewerben zuzuzählen): a) höhere Beamte, Anwälte, Notare usw., b) sonstiges Verwaltungs-, Aufsichts- und Büropersonal, einschließlich Rechner und Schreiber (außer den bei c bezeichneten), c) Dienstpersonal (Portiers, Boten, Bürodiener, Lakaien usw.);E;2;228945;7593;236538;31500;0;205038;0;0.00%;13.32%;0.00%;86.68%;0.00%
Kirche, Gottesdienst, Mission, auch Personal in Anstalten für religiöse Zwecke: a) Geistliche, Missionare, Kirchen- und Anstaltsbeamte, b) Anstaltsinsassen, c) Kirchendiener, Dienstpersonal in Anstalten usw.;E;3;32707;11932;44639;0;37408;7231;0;0.00%;0.00%;83.80%;16.20%;0.00%
"Bildung, Erziehung und Unterricht, Bibliotheken, wissenschaftliche und Kunstsammlungen: (Lehrer an Hochschulen, Gymnasien, Real-, Volksschulen, Gewerbe- und Fachschulen und Waisenhäusern, Inhaber und Lehrer von Privatschulen, Erziehungs-, Blinden-, Taubstummenanstalten, Privat- und Hauslehrer, Erzieher und Erzieherinnen; ferner Personal in Anstalten für Erziehung und Unterricht): a) Direktions- und Lehrpersonal, b) Verwaltungspersonal, c) Dienstpersonal, auch in Anstalten";E;4;120388;55900;176288;48537;116509;11241;0;0.00%;27.53%;66.09%;6.38%;0.00%
Gesundheitspflege und Krankendienst: (Ärzte - mit Ausschluss der Militärärzte - Hebammen, Tierärzte, Personal in Heil- und Pflegeanstalten und Heilbädern, Krankenwärter, Schwestern für Krankenpflege): a) Direktions- und ärztliches Personal, b) Verwaltungspersonal, c) Wartepersonal, d) sonstiges Dienstpersonal;E;5;47718;75641;123359;25349;21277;76733;0;0.00%;20.55%;17.25%;62.20%;0.00%
Privatgelehrte, Schriftsteller, Journalisten;E;6;4806;561;5367;5367;0;0;0;0.00%;100.00%;0.00%;0.00%;0.00%
Stenographen, Privatsekretäre, Rechnungsführer, Rechner, Schreiber;E;7;5101;1492;6593;0;0;6593;0;0.00%;0.00%;0.00%;100.00%;0.00%
Musik, Theater, Schaustellungen aller Art: a) Direktionspersonal, Schauspieler, Musiker, Künstler, b) Verwaltungspersonal (Kassierer, Buchhalter usw.), c) anderes Hilfspersonal;E;8;42288;14022;56310;0;51394;4916;0;0.00%;0.00%;91.27%;8.73%;0.00%
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
