Number Description;i_Grossbuchstabe;i_Ziffer;d_Hauptberuf_m;d_Hauptberuf_w;d_Hauptberuf;high;medium;low;unskilled;intermediate;share high;share medium;share low;share unskilled
Verfertigung von sonstigen musikalischen Instrumenten (mit Ausnahme der Kinderspielwaren);B;49;2233;245;2478;0;1914;0;564;0.00%;0.00%;77.23%;0.00%;22.77%
Verfertigung von mathematischen, physikalischen, chemischen und chirurgischen Instrumenten und Apparaten (auch photographischen Apparaten);B;50;24576;850;25426;0;22583;0;2843;0.00%;0.00%;88.82%;0.00%;11.18%
Verfertigung von Lampen und anderen Beleuchtungsapparaten (soweit nicht unter Nr. 52 und 53 gehörig);B;51;5920;3744;9664;347;292;2830;6196;0.00%;3.59%;3.02%;29.28%;64.12%
Glühstrumpf- und Glühkörperfabrikation;B;52;629;1705;2334;0;0;579;1755;0.00%;0.00%;0.00%;24.83%;75.17%
Elektrotechniker, Herstellung von elektrischen Maschinen, Apparaten, Anlagen etc.;B;53;49258;8438;57696;0;33127;0;24569;0.00%;0.00%;57.42%;0.00%;42.58%
Fabrikation von Erd- und Seekabeln, Leitungsschur und Isoliermaterial;B;54;5961;627;6588;266;952;470;4900;0.00%;4.04%;14.45%;7.13%;74.37%
Chemische, pharmazeutische und photgraphische Präparate;B;55;42857;4919;47776;0;0;12968;34808;0.00%;0.00%;0.00%;27.14%;72.86%
Apotheker;B;56;10085;518;10603;4942;19;3729;1913;0.00%;46.61%;0.18%;35.17%;18.04%
Farbenmaterialien, mit Einschluß von Kohle- und Bleistiftfabrikation, von Tierkohle und Kohlefiltern, Steinkohlenteer- und Kohlenteer-Derivaten;B;57;12529;1338;13867;613;396;2564;10294;0.00%;4.42%;2.85%;18.49%;74.24%
Sprengstoffe;B;58;11094;4400;15494;456;537;1873;12628;0.00%;2.94%;3.47%;12.09%;81.50%
Zündwaren;B;59;1742;1961;3703;0;0;0;3703;0.00%;0.00%;0.00%;0.00%;100.00%
Verarbeitung von Abfuhrstoffen, Knochenmühlen, Düngerfabriken;B;60;2663;165;2828;0;0;0;2828;0.00%;0.00%;0.00%;0.00%;100.00%
Köhlerei, Holzteer-, Ruß-, Pech- und Harzgewinnung;B;61;700;24;724;0;0;266;458;0.00%;0.00%;0.00%;36.69%;63.31%
Gasanstalten;B;62;20571;259;20830;0;0;5051;15779;0.00%;0.00%;0.00%;24.25%;75.75%
Licht- und Seifenfabrikation;B;63;7892;2982;10874;0;0;4070;6804;0.00%;0.00%;0.00%;37.42%;62.58%
Ölmühlen, Ölraffinerie, Pflanzenfettfabrikation;B;64;5511;427;5938;0;0;1559;4379;0.00%;0.00%;0.00%;26.26%;73.74%
Kohlenteerschwelerei, Verfertigung von Mineral- und ätherischen Ölen, Fetten und Firnissen, Verarbeitung von Harzen, Herstellung von Leim;B;65;6306;1267;7573;0;0;2969;4604;0.00%;0.00%;0.00%;39.20%;60.80%
Zubereitung von Spinnstoffen;B;66;5835;5098;10933;0;0;1312;9621;0.00%;0.00%;0.00%;12.00%;88.00%
Spinnerei, Hechelei, Haspelei, Spulerei, Zwirnerei, Wattenfabrikation;B;67;29819;43358;73177;1050;2028;24930;45169;0.00%;1.44%;2.77%;34.07%;61.73%
Weberei;B;68;154711;116351;271062;0;0;156250;114812;0.00%;0.00%;0.00%;57.64%;42.36%
Gummi- und Haarflechterei und -weberei;B;69;473;645;1118;0;0;0;1118;0.00%;0.00%;0.00%;0.00%;100.00%
Strickerei und Wirkerei (Strumpfwarenfabrikation);B;70;4290;12268;16558;0;0;10995;5563;0.00%;0.00%;0.00%;66.40%;33.60%
Häkelei, Stickerei, Spitzenfabrikation;B;71;1303;9351;10654;0;0;6770;3884;0.00%;0.00%;0.00%;63.55%;36.45%
Färberei;B;72;17129;3028;20157;0;0;10098;10059;0.00%;0.00%;0.00%;50.10%;49.90%
Bleicherei, Druckerei, Appretur (auch in Verbindung mit Färberei);B;73;10516;4105;14621;0;0;4834;9787;0.00%;0.00%;0.00%;33.06%;66.94%
Posamentenfabrikation;B;74;5810;4615;10425;0;6227;0;4198;0.00%;0.00%;59.74%;0.00%;40.26%
Seilerei, Reepschlägerei;B;75;5970;1062;7032;0;0;4453;2579;0.00%;0.00%;0.00%;63.32%;36.68%
Verfertigung von Netzen, Segeln, Säcken und dergleichen;B;76;1238;1929;3167;0;1335;0;1832;0.00%;0.00%;42.17%;0.00%;57.83%
Herstellung von Filz und Filzwaren, soweit nicht zu Nr. 129 und 134 gehörig;B;77;1354;539;1893;0;0;639;1254;0.00%;0.00%;0.00%;33.73%;66.27%
Herstellung von Spielwaren aus Filz und Webstoffen;B;78;12;192;204;0;0;48;156;0.00%;0.00%;0.00%;23.30%;76.70%
Verfertigung von Papier, Pappe und Papierwaren, soweit nicht zu Nr. 80 gehörig;B;79;37030;19741;56771;0;0;10181;46590;0.00%;0.00%;0.00%;17.93%;82.07%
Verfertigung von Spielwaren aus Papiermache;B;80;45;26;71;0;0;38;33;0.00%;0.00%;0.00%;53.86%;46.14%
Buchbinderei und Kartonagefabrikation;B;81;28596;13835;42431;0;0;24346;18085;0.00%;0.00%;0.00%;57.38%;42.62%
Lohmühlen, Lohextraktfabrikation;B;82;92;2;94;0;0;50;44;0.00%;0.00%;0.00%;53.38%;46.62%
Gerberei;B;83;22877;1211;24088;0;0;11191;12897;0.00%;0.00%;0.00%;46.46%;53.54%
Lederfärberei und -lackiererei;B;84;1821;117;1938;156;63;853;867;0.00%;8.05%;3.23%;43.99%;44.73%
Ledertreibriemenfabrikation;B;85;852;111;963;0;0;580;383;0.00%;0.00%;0.00%;60.28%;39.72%
Wachstuch- und Ledertuchfabrikation, Linoleumfabrikation;B;86;2117;285;2402;0;0;601;1801;0.00%;0.00%;0.00%;25.03%;74.97%
Riemerei und Sattlerei;B;87;44444;2752;47196;0;43207;0;3989;0.00%;0.00%;91.55%;0.00%;8.45%
Verfertigung von Spielwaren aus Leder oder mit Leder überzogen;B;88;64;87;151;0;0;82;69;0.00%;0.00%;0.00%;54.45%;45.55%
Verfertigung von Tapezierarbeiten;B;89;25548;787;26335;0;0;24973;1362;0.00%;0.00%;0.00%;94.83%;5.17%
Verfertigung von Gummi- und Guttaperchawaren (ausgenommen Geflechte und Gewebe), soweit nicht zu Nr. 91 und 92 gehörig;B;90;12522;4423;16945;330;452;2402;13761;0.00%;1.95%;2.67%;14.17%;81.21%
Gummireifenfabrikation;B;91;123;19;142;0;0;60;82;0.00%;0.00%;0.00%;41.99%;58.01%
Verfertigung von Spielwaren aus Kautschuk;B;92;121;148;269;0;0;33;236;0.00%;0.00%;0.00%;12.26%;87.74%
Holzzurichtung und -konservierung;B;93;43920;1307;45227;0;0;11691;33536;0.00%;0.00%;0.00%;25.85%;74.15%
Verfertigung von groben, glatten Holzwaren und Holzstiften;B;94;25264;2309;27573;0;0;16852;10721;0.00%;0.00%;0.00%;61.12%;38.88%
Tischlerei und Spiegel-, Bilderrahmen- und Parkettfabrikation, Veredelung und Vergoldung;B;95;270862;3608;274470;0;258334;0;16136;0.00%;0.00%;94.12%;0.00%;5.88%
Böttcherei, auch wenn mit Küserei verbunden;B;96;20267;244;20511;0;18967;0;1544;0.00%;0.00%;92.47%;0.00%;7.53%
Korbmacher und Korbflechter;B;97;15468;1943;17411;0;0;14318;3093;0.00%;0.00%;0.00%;82.23%;17.77%
Strohhutfabrikation;B;98;407;839;1246;0;0;627;619;0.00%;0.00%;0.00%;50.34%;49.66%
Sonstige Flechterei und Weberei von Holz, Stroh, Bast, Binsen u.s.w.;B;99;1783;794;2577;0;0;1391;1186;0.00%;0.00%;0.00%;53.99%;46.01%
Drechslerei, Verfertigung. Veredelung und Vergoldung von Dreh- und Schnitzware, auch Korkschneiderei;B;100;22321;1789;24110;0;0;19574;4536;0.00%;0.00%;0.00%;81.19%;18.81%
Verfertigung von Spielwaren aus Holz, Horn und anderen Schnitzstoffen;B;101;355;181;536;0;0;288;248;0.00%;0.00%;0.00%;53.75%;46.25%
Kammmacher;B;102;1312;334;1646;0;0;0;1646;0.00%;0.00%;0.00%;0.00%;100.00%
Bürstenmacher, Verfertigung von Pinseln, Federposen;B;103;6135;2212;8347;0;0;5669;2678;0.00%;0.00%;0.00%;67.92%;32.08%
Stock-, Sonnen- und Regenschirmfabrikation;B;104;4826;3222;8048;0;4518;0;3530;0.00%;0.00%;56.14%;0.00%;43.86%
Getreide-Mahl und Schälmühlen, auch Reisschälmühlen;B;105;52035;2079;54114;0;41138;0;12976;0.00%;0.00%;76.02%;0.00%;23.98%
Bäckerei, Konditorei, Pfefferküchler, Lebküchler (Lebzelter);B;106;157743;28592;186335;0;151007;0;35328;0.00%;0.00%;81.04%;0.00%;18.96%
Rübenzuckerfabrikation und Zuckerraffinerie;B;107;21546;3840;25386;2875;2256;9876;10379;0.00%;11.33%;8.89%;38.90%;40.88%
Stärkezucker- und Fruchtzuckerfabrikation, Melasseverarbeitung, Sirupfabrikation;B;108;857;163;1020;0;0;352;668;0.00%;0.00%;0.00%;34.54%;65.46%
Verfertigung von anderen vegetabilischen Nahrungsmitteln (Nudeln und Makkaroni, Stärke, Kakao, Schokolade, Kaffeesurrogate);B;109;10743;10025;20768;0;0;4874;15894;0.00%;0.00%;0.00%;23.47%;76.53%
Fleischerei;B;110;112180;21051;133231;0;108973;0;24258;0.00%;0.00%;81.79%;0.00%;18.21%
Fischsalzerei und -pökelei, Fischräucherei, -braterei, -marinererei;B;111;1135;986;2121;0;0;675;1446;0.00%;0.00%;0.00%;31.83%;68.17%
Bereitung von kondensierter Milch, Butter- und Käsefabriken, Verfertigung von anderen animalischen Nahrungsmitteln;B;112;16040;4323;20363;0;0;12848;7515;0.00%;0.00%;0.00%;63.10%;36.90%
Konservenfabrikation;B;113;2102;2066;4168;0;0;954;3214;0.00%;0.00%;0.00%;22.88%;77.12%
Herstellung von Nahrungsmitteln für Tiere;B;114;583;72;655;0;274;0;381;0.00%;0.00%;41.76%;0.00%;58.24%
Wasserversorgung, Wasserwerke, Eisbereitung, -bewahrung und -versorgung;B;115;5890;60;5950;390;691;677;4192;0.00%;6.55%;11.62%;11.38%;70.45%
Gewinnung von natürlichen und Fabrikation von künstlichen Mineralwasser;B;116;5275;1094;6369;0;0;0;6369;0.00%;0.00%;0.00%;0.00%;100.00%
Mälzerei;B;117;2064;83;2147;0;0;909;1238;0.00%;0.00%;0.00%;42.35%;57.65%
Brauerei;B;118;50785;1830;52615;0;25852;0;26763;0.00%;0.00%;49.13%;0.00%;50.87%
Branntweinbrennerei, Liquor- und Preßhefefabrikation;B;119;17798;977;18775;0;0;11793;6982;0.00%;0.00%;0.00%;62.81%;37.19%
Schaum- und Obstweinfabrikation, Weinpflege (Weinküfer);B;120;5103;157;5260;0;0;3732;1528;0.00%;0.00%;0.00%;70.96%;29.04%
Essigfabrikation;B;121;1255;149;1404;0;0;713;691;0.00%;0.00%;0.00%;50.82%;49.18%
Tabakfabrikation;B;122;48078;51553;99631;0;0;69539;30092;0.00%;0.00%;0.00%;69.80%;30.20%
Näher und Näherinnen;B;123;649;122883;123532;0;0;116264;7268;0.00%;0.00%;0.00%;94.12%;5.88%
Schneider und Schnederinnen, Kleiderkonfektion;B;124;195862;219325;415187;0;394649;0;20538;0.00%;0.00%;95.05%;0.00%;4.95%
Wäschekonfektion;B;125;4732;22188;26920;0;18131;0;8789;0.00%;0.00%;67.35%;0.00%;32.65%
Putzmacherei;B;126;1358;34869;36227;0;33332;0;2895;0.00%;0.00%;92.01%;0.00%;7.99%
Fertigstellung, Bekleidung und Ausstattung von Puppen;B;127;25;79;104;0;0;57;47;0.00%;0.00%;0.00%;54.96%;45.04%
Verfertigung von künstlichen Blumen und Federschmuck;B;128;802;5021;5823;0;0;3569;2254;0.00%;0.00%;0.00%;61.30%;38.70%
Filzhut- und Mützenmacherei;B;129;8442;6179;14621;0;0;8939;5682;0.00%;0.00%;0.00%;61.14%;38.86%
Kürschnerei und Pelzwarenzurichtung;B;130;7380;2368;9748;0;7675;0;2073;0.00%;0.00%;78.73%;0.00%;21.27%
Handschuhmacher;B;131;3611;2397;6008;0;0;3185;2823;0.00%;0.00%;0.00%;53.02%;46.98%
Verfertigung von Krawatten und Hosenträgern;B;132;959;4500;5459;0;0;4490;969;0.00%;0.00%;0.00%;82.24%;17.76%
Verfertigung von Korsetts;B;133;316;1944;2260;0;833;0;1427;0.00%;0.00%;36.84%;0.00%;63.16%
Schuhmacherei (auch Zeug- und Filzschuhe);B;134;198104;13049;211153;0;191719;0;19434;0.00%;0.00%;90.80%;0.00%;9.20%
Barbiere, Friseure und Perückenmacher;B;135;52003;5223;57226;0;0;56269;957;0.00%;0.00%;0.00%;98.33%;1.67%
Badeanstalten;B;136;2668;1654;4322;0;0;1904;2418;0.00%;0.00%;0.00%;44.05%;55.95%
Wasch- und Plättanstalten, soweit nicht zu Nr. 138 gehörig, Näherinnen, Plätterinnen;B;137;5345;81532;86877;0;0;51476;35401;0.00%;0.00%;0.00%;59.25%;40.75%
Reinigerei (Kleider- und Lappenfärberei, chemische Waschanstalten);B;138;1015;1906;2921;0;0;1594;1327;0.00%;0.00%;0.00%;54.59%;45.41%
Kleiderreiniger, Stiefelwichser, Kammerjäger;B;139;435;32;467;0;0;410;57;0.00%;0.00%;0.00%;87.73%;12.27%
Reinigung von Wohnungen, Wohnungseinrichtungen und sonstigen Gegenständen, Fleckenausmacher, Desinfektionsanstalten;B;140;3560;927;4487;0;0;0;4487;0.00%;0.00%;0.00%;0.00%;100.00%
Bauunternehmung und Bauunterhaltung (Hoch-, Eisenbahn-, Weg- und Wasserbau), soweit nicht zu den folgenden Nummer 142 bis 152 zu zählen;B;141;415918;8516;424434;0;0;86881;337553;0.00%;0.00%;0.00%;20.47%;79.53%
Feldmesser, Geometer, Markscheider, Kulturtechniker und Wiesenbauer;B;142;14010;123;14133;0;8273;560;5301;0.00%;0.00%;58.53%;3.96%;37.51%
Maurer;B;143;361726;1364;363090;0;331674;0;31416;0.00%;0.00%;91.35%;0.00%;8.65%
Zimmerer;B;144;120198;176;120374;0;115903;0;4471;0.00%;0.00%;96.29%;0.00%;3.71%
Glaser;B;145;11625;342;11967;0;11553;0;414;0.00%;0.00%;96.54%;0.00%;3.46%
Stubenmaler, Staffierer, Anstreicher, Tüncher;B;146;123049;717;123766;0;0;120507;3259;0.00%;0.00%;0.00%;97.37%;2.63%
Stubenbohrer;B;147;212;6;218;0;0;184;34;0.00%;0.00%;0.00%;84.33%;15.67%
Stuckateure;B;148;11719;46;11765;0;0;11100;665;0.00%;0.00%;0.00%;94.35%;5.65%
