id_inequality,rb_id,rb_name,province_id,s_industry,s_prot,s_german,longitud,latitud,slope_km,soil_suitability,mean_temp,mean_preci,dist_100km,log_distance_carbon_c,NAME,county_name,uni_dummy,min_distance_uni,prov_cap_dummy,BER_dummy,density
1.0,17.0,Koenigsberg,1.0,18.515816698720077,93.37926805654166,56.52791946084251,21.2619992584,55.648116965,0.039,3.466666666666667,7.255,64.419,0.33,4.272284547108372,MEMEL,Memel,0,1.2090597067207633,0,0,23.961488533102553
2.0,17.0,Koenigsberg,1.0,20.088563399472026,96.75205855443733,99.44971072121818,20.2492635952,54.8434633127,0.041,3.272727272727273,7.703,63.562,0.101,5.116106313120672,FISCHHAUSEN,Fischhausen,0,0.2888097696372205,0,0,23.961488533102553
4.0,17.0,Koenigsberg,1.0,35.49840565645363,91.65995918599641,99.39519640284352,20.5035495002,54.706533544,0.041,2.0,7.983,66.168,0.04,5.1810001279518865,KONIGSBERG,Koenigsberg Stadt,1,0.0,1,0,23.961488533102553
5.0,17.0,Koenigsberg,1.0,15.06041850869437,97.78266080703156,99.66995105615662,20.6460940326,54.7372806955,0.039,2.052631578947369,7.516,65.371,0.009,5.153863170557362,KONIGSBERG,Koenigsberg Land,0,0.14582294415660016,0,0,23.961488533102553
6.0,17.0,Koenigsberg,1.0,12.007055562555122,98.66815519909122,89.09442512794467,21.2679028492,54.8550572565,0.038,2.05,7.287,61.743,0.119,5.070227270965072,LABIAU,Labiau,0,0.7786496871522502,0,0,23.961488533102553
7.0,17.0,Koenigsberg,1.0,17.207037248277977,97.04317598931728,99.45844480883748,21.1896858438,54.6372886752,0.04,2.0,7.278,60.237,0.119,5.209564727208325,WEHLAU,Wehlau,0,0.6896215874404664,0,0,23.961488533102553
8.0,17.0,Koenigsberg,1.0,14.312019810781637,98.09114207441012,99.72801450589301,21.3940083804,54.3688017782,0.047,2.0625,7.332,52.998,0.256,5.365917230189403,GERDAUEN,Gerdauen,0,0.9523548513854623,0,0,23.961488533102553
9.0,17.0,Koenigsberg,1.0,18.89646851362012,91.66260567408946,99.23713753196654,21.3215069056,54.1387208845,0.057,1.6875,7.419,45.803,0.127,5.476760725347598,RASTENBURG,Rastenburg,0,0.9957236229683237,0,0,23.961488533102553
10.0,17.0,Koenigsberg,1.0,19.014159480464176,96.35191067475213,99.63821257455754,20.9394813475,54.3484156458,0.047,2.263157894736842,7.333,56.628,0.414,5.370281720663111,FRIEDLAND,Friedland,0,0.5641675323000932,0,0,23.961488533102553
11.0,17.0,Koenigsberg,1.0,14.178729622357187,95.37603085381365,99.86958325923291,20.5682059995,54.3952283013,0.052,1.692307692307692,7.237,61.636,0.372,5.354473857132895,PREUSSISCH EYLAU,Preussisch Eylau,0,0.3179487647943267,0,0,23.961488533102553
12.0,17.0,Koenigsberg,1.0,14.358677845234654,95.69104939697796,99.89180904296082,20.138505688,54.4501176654,0.051,2.352941176470588,7.531,61.22,0.333,5.351104773030273,HEILIGENBEIL,Heiligenbeil,0,0.4461009836614572,0,0,23.961488533102553
13.0,17.0,Koenigsberg,1.0,16.763049764115053,12.05024444729277,99.79806587869132,20.0078835631,54.2431312933,0.051,1.631578947368421,7.538,58.498,0.348,5.4609182174587865,BRAUNSBERG,Braunsberg,0,0.6785472475480588,0,0,23.961488533102553
14.0,17.0,Koenigsberg,1.0,13.110539845758353,5.077824009862844,99.7578880086773,20.4715164958,54.0573145277,0.059,1.5,7.276,56.111,0.441,5.52029415763021,HEILSBERG,Heilsberg,0,0.6500088033991789,0,0,23.961488533102553
15.0,17.0,Koenigsberg,1.0,16.204564666103128,9.9163892851482,85.94234592445328,20.9324446361,53.9836209786,0.065,1.3125,7.178,49.676,0.356,5.543565100078751,ROSSEL,Roessel,0,0.8405674362071693,0,0,23.961488533102553
16.0,17.0,Koenigsberg,1.0,16.856914633203637,16.778759505912348,52.82714642484785,20.5268300827,53.7714495418,0.065,1.428571428571429,7.2,51.677,0.341,5.638009571026249,ALLENSTEIN,Allenstein,0,0.9353737630978907,0,0,23.961488533102553
19.0,17.0,Koenigsberg,1.0,10.53217391304348,86.01708910748906,25.245786516853936,21.0565332702,53.5530043497,0.065,2.323529411764706,7.269,43.947,0.379,5.656264553586918,ORTELSBURG,Ortelsburg,0,1.2792265835206191,0,0,23.961488533102553
20.0,17.0,Koenigsberg,1.0,12.02734375,82.97428302140838,30.640406561409222,20.4128994136,53.372518544,0.069,2.178571428571428,7.148,48.255,0.516,5.587538183766949,NEIDENBURG,Neidenburg,0,1.3370914173778803,0,0,23.961488533102553
21.0,17.0,Koenigsberg,1.0,17.49658269869166,87.12801007151849,56.10944110443108,20.0916041024,53.6094869902,0.068,2.4,7.166,52.877,0.185,5.687782444410008,OSTERODE,Osterode Ostpreussen,0,1.1718404976672663,0,0,23.961488533102553
22.0,17.0,Koenigsberg,1.0,14.849863512283894,96.2565180169663,99.69845669763261,19.7748483458,53.884003044,0.059,1.583333333333333,7.346,55.697,0.009,5.627344893852799,MOHRUNGEN,Mohrungen,0,1.0988911665192966,0,0,23.961488533102553
23.0,17.0,Koenigsberg,1.0,15.74074074074074,94.9271523178808,99.84746186546637,19.725282966,54.0841525507,0.052,1.473684210526316,7.582,56.599,0.093,5.549878789191852,PREUSSISCH HOLLAND,Preussisch Holland,0,0.9965224026968866,0,0,23.961488533102553
