id_inequality,d_Hauptberuf,high,medium,low,unskilled,Industriearbeiter,Anteil_Industriearbeiter,per_high,per_medium,per_low,per_unskilled
1.0,25514.0,194.67184934995672,5810.306454602251,5465.725959791905,14043.295736255888,5482.0,0.21486242847064357,0.007630001150347131,0.22773012677754373,0.21422458100618894,0.5504152910659202
2.0,20208.0,188.1023722163121,4828.640411068876,4605.593070987591,10585.66414572722,4673.0,0.23124505146476643,0.009308312164306814,0.2389469720441843,0.22790939583271927,0.5238353199587896
4.0,93696.0,1811.855253464696,37360.64450806747,32442.714817197528,22080.785421270306,40793.0,0.4353761099726776,0.019337594491383794,0.3987432175126736,0.34625506763573183,0.23566412036021075
5.0,17766.0,98.28815058627038,3717.5121219041666,2327.0454508964854,11623.154276613077,3063.0,0.1724079702803107,0.00553237366803278,0.20924868411033246,0.1309830829053521,0.6542358593162826
6.0,20770.0,82.90546912655103,4239.73325662703,2549.2442645446977,13898.117009701722,2839.0,0.1366875300914781,0.00399159697287198,0.2041277446618695,0.12273684470605188,0.6691438136592066
7.0,17899.0,157.23208063949912,4330.25876396065,2446.6096770052263,10964.899478394625,3922.0,0.21911838650203921,0.008784405868456288,0.2419274129258981,0.13668974115901594,0.6125984400466298
8.0,14083.0,68.1601312841516,2973.5076900381882,1549.2623212431681,9492.069857434491,2252.0,0.1599091102747994,0.004839887189103998,0.2111416381479932,0.11000939581361699,0.6740090788492857
9.0,18128.0,209.66337569990543,4395.538334087859,3586.508236911815,9936.290053300421,4058.0,0.22385260370697263,0.011565720195272806,0.24247232646115727,0.19784356999734196,0.548118383346228
10.0,16444.0,112.86438339570459,4141.240632675344,2209.9951355578833,9979.899848371067,3564.0,0.21673558744830942,0.00686356016758116,0.25183900709531404,0.13439522838469248,0.6069022043524123
11.0,19220.0,89.93720187511879,4351.373769685185,1902.1508035613313,12876.538224878364,3099.0,0.16123829344432883,0.004679354936270488,0.22639821902628435,0.09896726345272275,0.6699551625847224
12.0,18482.0,82.45364468140443,4189.964510680021,2184.357876996154,12025.22396764242,2980.0,0.16123796125960393,0.0044612944855212874,0.22670514612487938,0.11818839286852906,0.6506451665210702
13.0,21563.0,181.917926605141,5164.127049464881,3573.3832250057535,12643.571798924226,4403.0,0.20419236655381903,0.008436577776985622,0.2394901938257608,0.16571827783730247,0.5863549505599511
14.0,23192.0,101.95383678437729,4976.184329290145,2337.274607120844,15776.587226804633,3462.0,0.1492756122800966,0.004396077819264285,0.21456469167342812,0.10077934663335822,0.6802598838739493
15.0,20377.0,116.56968022468521,5303.337059452338,3048.598860059959,11908.494400263018,3823.0,0.18761348579280562,0.005720649763197979,0.26026093435993214,0.14960979830494964,0.5844086175719202
16.0,33406.0,380.5315589240069,7945.456005166212,8783.782827049597,16296.229608860183,6520.0,0.1951745195473867,0.01139111413889741,0.23784517766767083,0.2629402750119618,0.4878234331814699
19.0,25925.0,150.4990611375699,5670.291827331079,3895.6743886496397,16208.534722881712,3028.0,0.11679845708775313,0.0058051711142746345,0.21871906759232707,0.15026709310123973,0.6252086681921586
20.0,23396.0,137.6723786977116,5411.923018429297,3538.52095093099,14307.883651942,3065.0,0.13100530005129082,0.005884440874410651,0.23131830306160445,0.15124469785138442,0.6115525582126005
21.0,27469.0,233.54673792574556,6924.563857308877,5899.744834180025,14411.144570585353,5361.0,0.19516545924496706,0.008502192942070901,0.252086492311656,0.21477828949652425,0.5246330252497489
22.0,19110.0,95.81883245400145,4469.08677649972,2210.693608838591,12334.400782207686,3264.0,0.17080062794348508,0.005014067632339165,0.2338611604657101,0.11568255409935066,0.6454422178026
23.0,16411.0,78.33570923404785,3810.329745834613,1832.6170671426412,10689.717477788698,2938.0,0.1790262628724636,0.004773365988303446,0.23218144816492675,0.11167004248020482,0.651375143366565
24.0,19895.0,79.77546361429573,3779.406567222464,2802.379565497985,13233.438403665255,2058.0,0.10344307614978637,0.004009824760708506,0.1899676585686084,0.14085848532284417,0.665164031347839
25.0,24413.0,88.27418265273012,5127.8360536120435,3432.569355011013,15764.320408724212,3204.0,0.13124155163232704,0.0036158678840261384,0.21004530592766327,0.14060415987428881,0.6457346663140218
27.0,14771.0,253.92862034284028,5891.245452691488,4858.8816149363,3766.9443120293718,6799.0,0.4602938189696026,0.01719102432759057,0.3988386333147037,0.32894737085751136,0.25502297150019443
28.0,22112.0,64.73454975883355,4035.9520034836887,2873.853443300463,15137.460003457014,2682.0,0.12129160636758321,0.002927575513695439,0.18252315500559374,0.12996804645895726,0.6845812230217535
29.0,23493.0,99.25364660959622,4890.360783726914,3333.6658636666084,15169.71970599688,3391.0,0.14434086749244457,0.004224817886587333,0.20816246472255198,0.14190039005944785,0.6457123273314128
30.0,19797.0,83.35055752221982,4317.856344236534,2663.9831527135702,12731.809945527675,2499.0,0.1262312471586604,0.004210262035774098,0.21810659919364217,0.13456499230760066,0.643118146462983
31.0,19824.0,101.79744464856891,4482.670987064569,3125.408739459199,12114.122828827663,2638.0,0.13307102502017756,0.005135060767179627,0.22612343558638867,0.15765782584035506,0.6110836778060766
32.0,23384.0,223.0386839984574,5476.512512801897,5464.913640194932,12219.535163004713,4268.0,0.18251796099897366,0.009538089462814633,0.23419913243251356,0.23370311495872956,0.5225596631459423
34.0,11233.0,230.64595167398892,3987.4206031419417,4461.390339014341,2553.5431061697277,4674.0,0.416095433098905,0.020532889849015305,0.35497379178687277,0.3971681954076686,0.2273251229564433
35.0,20615.0,68.52554578443389,4066.3359958665237,2701.7466749052396,13778.391783443803,2246.0,0.1089497938394373,0.0033240623713040934,0.19725132165251147,0.13105732112079746,0.668367294855387
36.0,13957.0,76.81814428246392,2974.3750597356534,2297.5773340233823,8608.2294619585,1735.0,0.12431038188722505,0.005503915188254204,0.21310991328621146,0.16461828000454126,0.6167678915209931
37.0,14815.0,80.60061261845092,3470.7481602870166,2079.0953688990717,9184.55585819546,2584.0,0.1744178197772528,0.005440473345828614,0.23427257241221847,0.14033718318589752,0.6199497710560553
38.0,20190.0,147.9402199764248,4228.935255575546,4179.332708005397,11633.791816442632,3005.0,0.14883605745418524,0.007327400692244914,0.20945692201959118,0.20700013412607216,0.5762155431620917
39.0,17479.0,75.3551903779693,3722.9718401714567,2350.8488035279543,11329.824165922619,2323.0,0.1329023399507981,0.004311184299900983,0.21299684422286497,0.13449561207894928,0.6481963593982847
40.0,24714.0,197.37523966129322,5691.480605262512,4898.58978091274,13926.554374163454,3417.0,0.13826171400825443,0.00798637370159801,0.23029378511218385,0.19821112652394351,0.5635087146622746
41.0,17338.0,124.85181110080731,4253.954987161826,3079.5526603233793,9879.640541413988,2703.0,0.1559003345253201,0.007201050357642595,0.24535442306850996,0.17761867922040486,0.5698258473534427
42.0,19473.0,125.61566872680346,4363.511717793594,3571.5199362310204,11412.352677248584,2576.0,0.13228572895804447,0.006450760988384094,0.22408009643062668,0.18340881919740257,0.5860603233835867
43.0,19357.0,11.530058987419077,4503.616258625607,2506.9666704559213,12334.887011931054,2607.0,0.13467996073771762,0.0005956531997426811,0.2326608595663381,0.12951214911690453,0.6372313381170147
45.0,20094.0,197.42273784018886,10041.37407179524,4715.32653208707,5139.876658277501,14842.0,0.7386284463023788,0.009824959581974164,0.49972001949812084,0.23466340858400864,0.2557916123358963
46.0,16737.0,55.46226836027184,3801.371522648941,2124.747101301647,10755.419107689138,4506.0,0.26922387524645996,0.0033137520678898154,0.2271238288013946,0.12694910087241723,0.6426133182582983
47.0,26822.0,232.90048797866058,7241.8842424702325,4580.9085905502425,14766.306679000863,6334.0,0.2361494295727388,0.008683188724877361,0.2699979212016342,0.17078922491053025,0.5505296651629581
49.0,64132.0,1331.8677800674718,26536.244477661923,22693.711823249974,13570.17591902063,30550.0,0.4763612549117445,0.020767600886725374,0.41377540818408787,0.35385941220061706,0.21159757872856969
51.0,13901.0,67.5512111545613,3581.8782599130523,2690.438675259443,7561.131853672943,3119.0,0.22437234731314293,0.004859449762935134,0.25767054599762984,0.19354281528375245,0.5439271889556826
52.0,17654.0,139.26430989188023,5208.378026104465,2963.1124997737666,9343.245164229887,6507.0,0.3685850232241985,0.007888541400922183,0.2950253781638419,0.16784368980252445,0.5292423906327114
53.0,15480.0,151.60101697838425,4756.023264854112,2696.52845616831,7875.847261999193,4466.0,0.28850129198966407,0.009793347350024822,0.3072366450164155,0.17419434471371512,0.5087756629198444
54.0,20684.0,163.75222535325446,5191.107388044806,3005.727295722998,12323.413090878941,3933.0,0.19014697350609167,0.00791685483239482,0.2509721228023983,0.14531653914731182,0.5957944832178951
55.0,20913.0,95.17075314640711,4540.435567846919,2306.854708820118,13970.538970186553,2421.0,0.11576531344140009,0.004550793915096213,0.21711067603150763,0.11030721124755502,0.668031318805841
56.0,28209.0,87.29121281575787,5276.811440591293,2754.0141509910777,20090.88319560187,2055.0,0.07284909071572902,0.003094445489586936,0.18706127266444372,0.0976289181109248,0.7122153637350445
57.0,20007.0,184.07621780060663,5599.76361744072,3277.623052608691,10945.537112149981,4894.0,0.24461438496526217,0.009200590683291179,0.2798902192952826,0.16382381429543116,0.5470853757259949
58.0,10159.0,38.87382758009156,1930.842472296569,1641.4160068369692,6547.867693286369,883.0,0.08691800374052565,0.003826540759926327,0.19006225733798296,0.16157259640092225,0.6445386055011684
59.0,14381.0,73.41180503227146,3411.1156139773248,1733.58765983302,9162.884921157383,2633.0,0.18308879771921285,0.00510477748642455,0.23719599568717925,0.12054708711723942,0.6371521397091567
60.0,28324.0,245.74886130843905,6375.220130918571,5047.686479257525,16655.344528515463,5520.0,0.19488772772207316,0.008676347313530541,0.22508191395701777,0.17821234568766858,0.588029393041783
61.0,23125.0,228.3028936117575,5413.154719570319,5534.354089739719,11949.188297078206,4237.0,0.18322162162162162,0.009872557561589513,0.23408236625168946,0.2393234200968527,0.5167216560898684
62.0,21711.0,111.85383297738669,4789.801414483094,2447.5934736447084,14361.75127889481,2990.0,0.13771820736032425,0.0051519429311126476,0.22061634261356428,0.11273517910942418,0.6614965353458988
63.0,23686.0,142.48829492963682,5184.669587960607,3665.434669000025,14693.40744810973,3445.0,0.14544456641053788,0.006015717931674273,0.21889173300517634,0.15475110482985838,0.620341444233291
64.0,19484.0,91.83244746329989,4440.793716352468,2522.24315958456,12429.130676599672,2793.0,0.14334838842126874,0.0047132235405101565,0.2279200223954254,0.12945202009774995,0.6379147339663145
66.0,17188.0,399.47566486475085,5580.61843510268,8015.998395983785,3191.907504048784,6013.0,0.3498370956481266,0.023241544383567073,0.3246810818654108,0.4663717940414117,0.18570557970961044
67.0,26657.0,299.39017785923147,4997.315976453232,7225.877429132225,14134.41641655531,4095.0,0.15361818659263984,0.01123120298080172,0.1874673060154268,0.2710686659838776,0.5302328250198939
68.0,20249.0,108.35474724720059,4774.071830481155,2723.1827248026784,12643.390697468967,3156.0,0.15585954861968493,0.005351115968551563,0.23576827648185864,0.13448480047422975,0.6243958070753601
70.0,15616.0,348.88109897132944,5381.079592774459,6856.373654458442,3029.66565379577,6817.0,0.43653944672131145,0.022341258899291075,0.3445875763815612,0.4390608129135785,0.1940103518055693
71.0,19729.0,111.51097873511037,3872.8482966033835,2958.9919960872285,12785.648728574279,2455.0,0.12443610928075421,0.005652135371033016,0.1963023111462002,0.1499818539250458,0.648063699557721
72.0,35495.0,299.2307104821556,7475.458714823418,7041.852197655686,20678.45837703874,5578.0,0.15714889421045217,0.008430221453223146,0.2106059646379326,0.19838997598691888,0.5825738379219253
73.0,12886.0,56.798396399996314,2767.904173224723,1646.9023432342524,8414.395087141029,1567.0,0.12160484246469036,0.004407760080707459,0.21479933053117514,0.12780555201259136,0.652987357375526
