id_inequality,d_Hauptberuf,high,medium,low,unskilled
1.0,24123.0,27.782329994546487,5342.308632222308,4709.613301527258,14043.295736255888
2.0,18465.0,23.916392767234775,4298.0978324956195,3556.6196150354085,10586.366159701738
4.0,77344.0,274.2682490656744,32249.23171604241,22716.615846910438,22103.88418798148
5.0,17010.0,12.114192716833756,3421.737684815059,1952.9938458550296,11623.154276613077
6.0,20331.0,10.326651958841124,3958.473482639777,2464.0828556996603,13898.117009701722
7.0,17026.0,15.350541070773325,3930.7370445062443,2115.012936028358,10964.899478394625
8.0,13755.0,13.291968586685385,2752.0357640538214,1497.6024099250014,9492.069857434491
9.0,15975.0,32.754687347677084,3927.700900967834,2077.552344409551,9936.992067274938
10.0,15605.0,15.063683617234311,3742.0626975635737,1865.867728524573,9982.005890294618
11.0,18769.0,13.686757893928716,4025.237988139612,1853.5370290880942,12876.538224878364
12.0,18057.0,14.312584038054185,3889.4879765633304,2127.975471756195,12025.22396764242
13.0,20133.0,21.9263575132494,4589.703918446928,2877.7979251155975,12643.571798924226
14.0,22629.0,17.111352480859384,4578.626296471434,2255.973110268555,15777.289240779151
15.0,19298.0,14.25840567028517,4847.677750438655,2527.569443628042,11908.494400263018
16.0,27893.0,35.3559423406077,7137.736431732566,4423.043697540016,16296.86392838681
19.0,24428.0,15.708200072032007,5294.964128950983,2908.7929480952725,16208.534722881712
20.0,22199.0,14.886516315528594,5046.629458816029,2829.6003729264426,14307.883651942
21.0,24556.0,25.915132356870068,6342.76072866321,3776.1795683945666,14411.144570585353
22.0,18632.0,18.471163560044747,4138.40935793875,2140.7186962935184,12334.400782207686
23.0,16008.0,12.113733037278182,3522.1870842403873,1783.9817049336364,10689.717477788698
24.0,19472.0,11.473067309941298,3563.2950881194943,2663.7934409053096,13233.438403665255
25.0,23985.0,17.000270908708845,4824.343465566827,3378.6338408257334,15765.02242269873
27.0,12023.0,35.5313276341083,5188.288782092142,3031.60125871775,3767.578631555999
28.0,21798.0,10.58093937231308,3824.1408319859684,2825.818225184704,15137.460003457014
29.0,23003.0,16.785713141433245,4584.714064667088,3231.780516194597,15169.71970599688
30.0,19387.0,13.346104134449705,4055.159683822104,2583.876210617701,12734.618001425744
31.0,19329.0,25.509231604943363,4158.461845120159,3029.5020664982003,12115.526856776698
32.0,20377.0,23.57321862141791,5014.581724799367,3119.309893574501,12219.535163004713
34.0,8332.0,38.77823044532632,3362.451127969995,2377.227535414951,2553.5431061697277
