id_inequality,high,medium,low,unskilled,d_Hauptberuf_Ind,d_Hauptberuf
1.0,25.782329994546487,3855.20388052496,2308.2312197449814,3717.7825697355124,9907.0,25514.0
2.0,20.916392767234775,3076.1695302996727,1223.9849533494053,2402.929123583687,6724.0,20208.0
4.0,220.26824906567444,31333.927245885978,16661.806014671045,20355.9984903773,68572.0,93696.0
5.0,12.114192716833756,1986.1452977014505,713.5949613824773,1364.1455481992386,4076.0,17766.0
6.0,10.326651958841124,2091.5035646507636,704.6018479888988,1214.5679354014962,4021.0,20770.0
7.0,15.350541070773325,2577.2538258994655,856.9905099719306,1589.4051230578305,5039.0,17899.0
8.0,13.291968586685385,1495.0980241756174,606.663944260849,802.9460629768481,2918.0,14083.0
9.0,31.754687347677088,2721.217964103307,1072.8976812469357,1520.12966730208,5346.0,18128.0
10.0,14.063683617234311,2494.501490259224,838.7679670234453,1224.6668591000964,4572.0,16444.0
11.0,12.686757893928716,2321.587626476991,656.3044144152594,916.4212012138208,3907.0,19220.0
12.0,14.312584038054185,2304.508439417369,720.1543557689125,925.024620775664,3964.0,18482.0
13.0,18.9263575132494,2968.7499051266927,1292.0304134030637,1520.2933239569943,5800.0,21563.0
14.0,16.111352480859384,2498.9873649551705,841.9440841619379,1174.9571984020322,4532.0,23192.0
15.0,14.25840567028517,2626.909236264082,934.5194112924544,1357.312946773178,4933.0,20377.0
16.0,29.355942340607697,4257.846789320804,2061.0404315136566,2690.7568368249317,9039.0,33406.0
19.0,15.708200072032007,2131.4938864891305,857.1900589717499,1100.6078544670877,4105.0,25925.0
20.0,13.886516315528594,2257.523672442081,946.7219095210131,1051.8679017213774,4270.0,23396.0
21.0,24.915132356870068,3711.275424549491,1590.8495985385591,1864.9598445550796,7192.0,27469.0
22.0,14.471163560044747,2521.5996262233252,717.1617146449377,1001.7674955716924,4255.0,19110.0
23.0,12.113733037278182,2092.8223742753507,662.3510937266207,925.7127989607505,3693.0,16411.0
24.0,11.473067309941298,1432.2990001425499,589.2852508915754,885.9426816559334,2919.0,19895.0
25.0,17.000270908708845,2290.00780038242,911.0409056447558,1236.9510230641154,4455.0,24413.0
27.0,26.5313276341083,5048.667528977777,2185.645818707491,3314.1553246806243,10575.0,14771.0
28.0,10.58093937231308,1433.4254926994927,679.4572571154947,1293.5363108126994,3417.0,22112.0
29.0,15.785713141433245,2192.159732579259,875.6469113772204,1518.4076429020874,4602.0,23493.0
30.0,13.346104134449705,1974.5768458270984,608.7319633371378,774.3450867013141,3371.0,19797.0
31.0,24.509231604943363,2224.8793229379235,1165.1661680607479,1006.4452773963852,4421.0,19824.0
32.0,21.57321862141791,3160.0218200044606,1144.1981559235612,1560.20680545056,5886.0,23384.0
34.0,30.77823044532632,3239.068194303847,1799.116843285878,2113.036731964948,7182.0,11233.0
35.0,11.951974853202778,1550.6086553100636,504.65495779943853,727.784412037295,2795.0,20615.0
36.0,9.88592499092587,1399.5415690917985,371.2641407506587,480.30836516661697,2261.0,13957.0
37.0,9.663175975604398,1710.416458242339,578.8032676637332,995.1170981183232,3294.0,14815.0
38.0,11.925605735091704,2052.139341764357,679.2390199538664,1179.6960325466848,3923.0,20190.0
39.0,9.442578315437357,1652.5207844923116,483.3366575659852,850.6999796262659,2996.0,17479.0
40.0,18.83759571183154,2628.7835758268407,1068.834475706611,1232.5443527547166,4949.0,24714.0
41.0,14.421408183386793,2070.1641212277777,740.6531682720596,929.7613023167758,3755.0,17338.0
42.0,10.900952940647079,1880.4031090091908,613.185847923959,976.5100901262032,3481.0,19473.0
43.0,11.530058987419077,1948.700200097414,675.9225718284335,1015.8471690867334,3652.0,19357.0
45.0,30.007356044309653,8706.675113510606,4345.871214625578,4639.446315819506,17722.0,20094.0
46.0,6.80676814168141,1994.1338873957118,1026.3064254219755,2354.7529190406312,5382.0,16737.0
47.0,46.18692136821998,3897.163718755472,2375.8331136324273,2472.816246243881,8792.0,26822.0
49.0,178.98089795946717,22670.37388878794,10700.277762168489,12549.367451084105,46099.0,64132.0
51.0,12.66412870779278,2183.950442778689,789.7741791941138,1629.611249319404,4616.0,13901.0
52.0,51.63832938732018,3443.5257058793363,1633.5105012850893,3215.325463448254,8344.0,17654.0
53.0,59.08168631961846,2957.0693961022425,1949.6803042927775,1703.1686132853617,6669.0,15480.0
54.0,11.563684509251283,2716.7603166171775,1049.918558546549,1433.7574403270219,5212.0,20684.0
55.0,9.359206985833163,1785.2754391856727,657.1839066055954,803.1814472228986,3255.0,20913.0
