id_inequality,high,medium,low,unskilled,d_Hauptberuf_Ind,d_Hauptberuf
1.0,194.67184934995672,5581.089180696467,5694.943233697688,14043.295736255888,25514.0,25514.0
2.0,188.05603591996166,4556.92234671764,4872.541847483909,10583.47976987849,20201.0,20208.0
4.0,1811.8022976974385,33907.737859485205,35867.874386062445,22100.58545675491,93688.0,93696.0
5.0,98.28153111536317,3602.7626133421168,2441.2139203327633,11622.741935209757,17765.0,17766.0
6.0,82.85251335929341,4117.0261239403135,2667.303084225241,13894.818278475152,20762.0,20770.0
7.0,157.23208063949912,4166.052168405482,2610.816272560395,10964.899478394625,17899.0,17899.0
8.0,68.1601312841516,2877.7647104835714,1645.005300797785,9492.069857434491,14083.0,14083.0
9.0,209.65675622899823,4151.442824855294,3829.320693044092,9936.579725871616,18127.0,18128.0
10.0,112.86438339570459,3923.7447608543307,2425.384965455346,9982.005890294618,16444.0,16444.0
11.0,89.93720187511879,4218.62939455827,2034.8951786882458,12876.538224878364,19220.0,19220.0
12.0,82.42054732686842,4066.8574127306874,2304.55977931663,12023.162260625813,18477.0,18482.0
13.0,181.917926605141,4927.544901220024,3809.9653732506104,12643.571798924226,21563.0,21563.0
14.0,101.9405978425629,4829.69311307667,2481.901731108258,15776.46455797251,23190.0,23192.0
15.0,116.5432023410564,5087.652812183794,3261.9589508254167,11906.845034649732,20373.0,20377.0
16.0,380.48522262765647,7534.369149593507,9190.168089215274,16293.977538563562,33399.0,33406.0
19.0,150.22766283037464,5546.695278536631,3995.4483332874506,16191.628725345543,25884.0,25925.0
20.0,137.55322822138197,5276.283562117299,3663.7017029791004,14300.461506682219,23378.0,23396.0
21.0,233.50040162939513,6678.6915577182635,6141.549859890237,14408.258180762105,27462.0,27469.0
22.0,95.81883245400145,4327.963794637683,2351.8165907006282,12334.400782207686,19110.0,19110.0
23.0,78.32908976314066,3668.62742051875,1973.7383533327325,10689.305136385376,16410.0,16411.0
24.0,79.77546361429573,3700.381514940947,2881.404617779502,13233.438403665255,19895.0,19895.0
25.0,88.27418265273012,4975.88603039352,3583.81736425502,15765.02242269873,24413.0,24413.0
27.0,253.92862034284028,5457.766941079308,5291.725807021852,3767.578631555999,14771.0,14771.0
28.0,64.73454975883355,3958.7464170750927,2951.0590297090594,15137.460003457014,22112.0,22112.0
29.0,99.25364660959622,4768.421592977651,3455.6050544158707,15169.71970599688,23493.0,23493.0
30.0,83.3439380513126,4215.650743285326,2762.7996586409377,12734.205660022422,19796.0,19797.0
31.0,101.79744464856891,4322.387761267947,3284.2879373067867,12115.526856776698,19824.0,19824.0
32.0,223.0386839984574,5243.101612274362,5698.324540722466,12219.535163004713,23384.0,23384.0
34.0,230.64595167398892,3540.129112013602,4908.681830142681,2553.5431061697277,11233.0,11233.0
35.0,68.52554578443389,3988.188735067206,2778.4899077555233,13779.795811392836,20615.0,20615.0
36.0,76.81152481155672,2906.5270783884143,2364.8442762448494,8607.817120555179,13956.0,13957.0
37.0,80.60061261845092,3312.7728309831473,2236.368684228424,9185.257872169977,14815.0,14815.0
38.0,147.9269810346104,4068.0133617516585,4337.688495628708,11634.371161585024,20188.0,20190.0
39.0,75.33533196524769,3621.1561166773554,2450.9214096447404,11328.587141712655,17476.0,17479.0
40.0,197.36200071947883,5497.736120227227,5091.172187696482,13925.729691356812,24712.0,24714.0
41.0,124.8319526880857,4110.4502876659935,3221.3142424418966,9878.403517204024,17335.0,17338.0
42.0,125.56271295954586,4269.5421719022415,3660.841169116199,11409.053946022013,19465.0,19473.0
43.0,11.477103220161467,4390.513122533934,2615.421493541421,12331.588280704485,19349.0,19357.0
45.0,197.42273784018886,9113.999336549921,5641.999253357871,5140.578672252018,20094.0,20094.0
46.0,55.46226836027184,3647.884037427213,2278.2345865233756,10755.419107689138,16737.0,16737.0
47.0,232.89386850775338,6490.186031484571,5330.621734461098,14767.298365546576,26821.0,26822.0
49.0,1331.8611605965646,24158.62022112964,25069.35101270745,13571.167605566343,64131.0,64132.0
51.0,67.5512111545613,3409.967966782335,2861.646954415643,7561.83386764746,13901.0,13901.0
52.0,139.25769042097303,4687.038030872798,3483.871455879661,9342.832822826567,17653.0,17654.0
53.0,151.60101697838425,4305.148871581585,3145.998821491804,7877.251289948226,15480.0,15480.0
54.0,163.72574746962565,4958.378087871364,3236.132439393353,12321.763725265657,20680.0,20684.0
55.0,95.17075314640711,4391.397409574536,2455.892867092501,13970.538970186553,20913.0,20913.0
56.0,87.29121281575787,5189.5070067328115,2840.6165708750414,20091.585209576388,28209.0,28209.0
57.0,184.07621780060663,5267.025090638327,3610.3615794110833,10945.537112149981,20007.0,20007.0
58.0,38.87382758009156,1907.2127513907792,1665.045727742759,6547.867693286369,10159.0,10159.0
59.0,73.39856609045707,3291.149772958214,1851.689408626071,9162.76225232526,14379.0,14381.0
60.0,245.72900289571743,5946.228461760398,5474.935031038383,16654.1075043055,28321.0,28324.0
61.0,228.2830351990359,5170.263646067937,5775.502045864785,11947.951272868242,23122.0,23125.0
62.0,111.80749668103628,4630.614183498938,2602.713430748464,14358.864889071561,21704.0,21711.0
63.0,142.44857810419361,5020.483708201886,3825.4323000296004,14691.63541366432,23680.0,23686.0
64.0,91.83244746329989,4258.595412055213,2699.527366060196,12434.044774421292,19484.0,19484.0
66.0,399.4624259229364,5077.98983716107,8517.464915673852,3191.082821242142,17186.0,17188.0
67.0,299.39017785923147,4703.224040241475,7519.969365343983,14134.41641655531,26657.0,26657.0
68.0,108.34812777629338,4593.545894607562,2902.425607575983,12643.680370040162,20248.0,20249.0
