id_inequality,d_Hauptberuf,high,medium,low,unskilled,Industriearbeiter,Anteil_Industriearbeiter,per_high,per_medium,per_low,per_unskilled
1.0,25514.0,194.662400912502,5546.620493003913,5670.087389888974,14102.629716194613,5482.0,0.21486242847064357,0.007629630826703065,0.21739517492372473,0.22223435721129475,0.5527408370382776
2.0,20208.0,188.09803412550167,4536.081755619195,4866.681948464984,10617.13826179032,4673.0,0.23124505146476643,0.009308097492354596,0.22446960390039564,0.24082947092562274,0.5253928276816271
4.0,93696.0,1811.6954639025055,33536.715917373396,35647.58691249766,22700.00170622644,40793.0,0.4353761099726776,0.019335889087074214,0.35793113812087385,0.38046007206815297,0.242272900723899
5.0,17766.0,98.28592116926615,3589.12843441911,2439.6182554336447,11638.967388977979,3063.0,0.1724079702803107,0.005532248180190597,0.20202231421924519,0.13731950103757992,0.6551259365629842
6.0,20770.0,82.9040515295363,4097.847741535229,2659.602918722939,13929.645288212296,2839.0,0.1366875300914781,0.003991528720728758,0.1972964728712195,0.12805021274544723,0.6706617856626045
7.0,17899.0,157.22531848691804,4144.075588364691,2601.278526750065,10996.420566398327,3922.0,0.21911838650203921,0.008784028073463212,0.23152553708948492,0.1453309417704936,0.6143594930665582
8.0,14083.0,68.15786312892804,2864.2649809836594,1640.2384485532602,9510.338707334153,2252.0,0.1599091102747994,0.004839726132850106,0.20338457579945035,0.11646939207223321,0.6753063059954664
9.0,18128.0,209.60095723907781,4125.493596183353,3820.8923966394586,9972.013049938112,4058.0,0.22385260370697263,0.01156227698803386,0.22757577207542765,0.21077296980579538,0.5500889811307431
10.0,16444.0,112.86080941953685,3900.3119300895482,2412.261023696259,10018.566236794655,3564.0,0.21673558744830942,0.006863342825318466,0.23718754135791464,0.14669551348189364,0.6092536023348732
11.0,19220.0,89.93398481814191,4197.914705105444,2024.8446040431786,12907.306706033234,3099.0,0.16123829344432883,0.004679187555574501,0.21841387643628743,0.10535091592316226,0.6715560200849757
12.0,18482.0,82.45113839679902,4045.4219379507936,2299.070343168809,12055.056580483597,2980.0,0.16123796125960393,0.004461158878736014,0.21888442473492012,0.12439510567951569,0.6522593107068281
13.0,21563.0,181.91265695452685,4895.298788374194,3791.494056083993,12694.294498587285,4403.0,0.20419236655381903,0.008436333393058798,0.22702308530233245,0.17583332820498043,0.5887072530996283
14.0,23192.0,101.94826785943027,4802.023722023795,2468.4750249527924,15819.552985163982,3462.0,0.1492756122800966,0.0043958376965949585,0.20705517945945995,0.10643648779548087,0.6821124950484643
15.0,20377.0,116.56592052289521,5060.745576944754,3250.7402714000573,11948.948231132292,3823.0,0.18761348579280562,0.005720465256067881,0.24835577253495383,0.15952987541836666,0.5863938867906116
16.0,33406.0,380.5258109340018,7488.90606615225,9175.51577031906,16361.052352594688,6520.0,0.1951745195473867,0.011390942074298084,0.2241784729136158,0.2746666997042166,0.4897638853078695
19.0,25925.0,150.49246671399007,5530.802649162271,4010.6876400093115,16233.017244114426,3028.0,0.11679845708775313,0.005804916748852076,0.21333857855977903,0.1547034769531075,0.6261530277382613
20.0,23396.0,137.67108923930164,5260.023018424674,3667.750303112998,14330.555589223026,3065.0,0.13100530005129082,0.005884385759929118,0.22482574023015361,0.1567682639388356,0.6125216100710816
21.0,27469.0,233.542706647119,6649.24229531606,6131.612325793187,14454.602672243635,5361.0,0.19516545924496706,0.008502046184685245,0.24206350050296918,0.223219350023415,0.5262151032889306
22.0,19110.0,95.81713133758379,4305.900294045734,2345.3666730647456,12362.915901551936,3264.0,0.17080062794348508,0.005013978615258178,0.22532183642311532,0.12272981020746968,0.6469343747541568
23.0,16411.0,78.33183715844018,3653.0421311510063,1966.8613127420836,10712.764718948469,2938.0,0.1790262628724636,0.004773130044387312,0.22259716843281982,0.11985018053391527,0.6527795209888775
24.0,19895.0,79.77376249787807,3684.4030477185556,2875.8701476245096,13254.953042159057,2058.0,0.10344307614978637,0.0040097392559878394,0.18519241255182486,0.1445524075207092,0.6662454406714781
25.0,24413.0,88.26856824027043,4952.582482372232,3577.8083899392104,15794.340559448287,3204.0,0.13124155163232704,0.003615637907683219,0.2028666072327134,0.1465534096562983,0.646964345203305
27.0,14771.0,253.9163230648465,5412.406500031143,5264.616832381628,3840.060344522383,6799.0,0.4602938189696026,0.017190191799123046,0.3664211292418349,0.35641573572416413,0.259972943234878
28.0,22112.0,64.7327321510437,3945.0979798919666,2947.895340697506,15154.273947259484,2682.0,0.12129160636758321,0.0029274933136325845,0.1784143442425817,0.13331654037163107,0.6853416220721547
29.0,23493.0,99.24816994199772,4746.125531478608,3451.270805990105,15196.35549258929,3391.0,0.14434086749244457,0.004224584767462551,0.20202296562714883,0.14690634682629317,0.6468461027790955
30.0,19797.0,83.34575316182307,4194.337055607188,2756.7707314926897,12762.546459738298,2499.0,0.1262312471586604,0.0042100193545397315,0.2118673059356058,0.1392519438042476,0.6446707309056068
31.0,19824.0,101.79379509382545,4300.565379665271,3278.0612437543186,12143.579581486583,2638.0,0.13307102502017756,0.005134876669381833,0.2169373173761739,0.16535821447509677,0.6125695914793474
