id_inequality,d_Hauptberuf,high,medium,low,unskilled
1.0,25514.0,272.2485124750312,5595.925262179944,5602.712473542726,14043.113751802299
2.0,20208.0,287.27352991072775,4568.483467758009,4765.876842629525,10586.366159701738
4.0,93696.0,2526.4974492092865,33917.82259770061,35151.06068241335,22100.619270676754
5.0,17766.0,157.23915267064604,3616.0541765976773,2373.010098736797,11619.696571994878
6.0,20770.0,124.34588938332824,4118.515059465844,2629.022041449106,13898.117009701722
7.0,17899.0,200.99527004010756,4170.661500019979,2562.443751545289,10964.899478394625
8.0,14083.0,101.11494749498664,2884.182014252473,1605.6331808180485,9492.069857434491
9.0,18128.0,283.21287114756194,4160.282849791089,3747.512211786411,9936.992067274938
10.0,16444.0,164.94253774229162,3930.2514660351817,2366.8001059279077,9982.005890294618
11.0,19220.0,125.40725836817126,4222.888997463131,1995.1655192903327,12876.538224878364
12.0,18482.0,130.66344999401565,4042.904488376357,2283.2080939872067,12025.22396764242
13.0,21563.0,231.62296842839348,4927.894411504254,3759.910821143128,12643.571798924226
14.0,23192.0,143.19600690958706,4829.972956290405,2441.5417960208565,15777.289240779151
15.0,20377.0,183.29282435194415,5091.054904829945,3194.157870555092,11908.494400263018
16.0,33406.0,503.4307514214416,7551.762586873376,9065.066412622287,16285.740249082895
19.0,25925.0,178.5293096651785,5552.141024048391,3985.7949434047187,16208.534722881712
20.0,23396.0,181.64561427246989,5283.607111062681,3622.863622722849,14307.883651942
21.0,27469.0,323.67024024421295,6657.245387323808,6076.939801846625,14411.144570585353
22.0,19110.0,147.89042684104726,4333.154283093441,2294.5545078578243,12334.400782207686
23.0,16411.0,126.78529511551643,3675.83312025726,1918.6641068385256,10689.717477788698
24.0,19895.0,108.24160515046907,3701.156973230135,2852.1630179541407,13233.438403665255
25.0,24413.0,142.60733552598646,4980.057843167988,3525.312398607294,15765.02242269873
27.0,14771.0,355.2287513090812,5468.683542830137,5179.509074304782,3767.578631555999
28.0,22112.0,101.52452644714668,3968.1792840273365,2904.8361860685027,15137.460003457014
29.0,23493.0,144.75952272903055,4764.753081939927,3413.7676893341604,15169.71970599688
30.0,19797.0,107.62554872803017,4211.417782333394,2743.3386675128313,12734.618001425744
31.0,19824.0,149.73904652717968,4324.936937220693,3233.79715947543,12115.526856776698
32.0,23384.0,286.9519978553048,5248.191100649068,5629.321738490914,12219.535163004713
34.0,11233.0,311.4906358324662,3547.878334651395,4820.087923346411,2553.5431061697277
35.0,20615.0,103.74067462782898,3994.7692700664047,2736.694243912929,13779.795811392836
36.0,13957.0,92.46017605188412,2909.066952271776,2347.2434097178393,8608.2294619585
37.0,14815.0,156.34297399289892,3326.6181657737843,2146.780988063339,9185.257872169977
38.0,20190.0,214.97095948674118,4080.5292842111053,4259.303911910487,11635.195844391666
39.0,17479.0,122.07772004875685,3623.440416488629,2403.6576975399944,11329.824165922619
40.0,24714.0,263.0847878276994,5505.903256952921,5018.457581055925,13926.554374163454
41.0,17338.0,169.31434416925987,4113.401148176215,3175.6439662405364,9879.640541413988
42.0,19473.0,153.19679037663929,4271.735818931909,3635.714713442869,11412.352677248584
43.0,19357.0,47.0443955568549,4396.639023167914,2578.429569344178,12334.887011931054
45.0,20094.0,505.9017687808192,8704.883019012443,5742.636539954719,5140.578672252018
46.0,16737.0,132.5134242208237,3610.011331917389,2239.0561361726477,10755.419107689138
47.0,26822.0,358.0054578230527,6507.193458351172,5189.090376875877,14767.710706949898
49.0,64132.0,1887.6983111388597,23808.380737379306,24869.707691895637,13566.213259586197
51.0,13901.0,158.79657012555217,3363.3618134002354,2817.0077488267516,7561.83386764746
52.0,17654.0,307.3638185674512,4658.975772263581,3345.5861585500174,9342.074250618949
53.0,15480.0,278.897267395733,4271.8958220612885,3051.955620594751,7877.251289948226
54.0,20684.0,248.7425901057685,4954.316872941088,3157.527446074201,12323.413090878941
55.0,20913.0,138.18456925161192,4395.9614052732695,2408.315055288563,13970.538970186553
56.0,28209.0,120.05524457898957,5197.659626451874,2799.699919392748,20091.585209576388
57.0,20007.0,269.7746298688691,5270.658148696931,3521.0301092842174,10945.537112149981
58.0,10159.0,45.3989523596582,1906.5864865186788,1659.146867835293,6547.867693286369
59.0,14381.0,115.14079951877767,3297.81919561811,1804.453069731212,9163.586935131902
60.0,28324.0,420.0628595165708,5974.520851947516,5274.071760020449,16655.344528515463
61.0,23125.0,275.26515774532567,5171.490549606292,5729.055995570177,11949.188297078206
62.0,21711.0,161.18650274322377,4639.097264256964,2548.9649541050017,14361.75127889481
63.0,23686.0,181.5650317041211,5015.864962045692,3794.4605441659396,14694.109462084249
64.0,19484.0,127.60775756070169,4259.249794882318,2663.0976731356895,12434.044774421292
66.0,17188.0,517.5117889631082,5062.0837457482785,8418.134821322134,3190.2696439664796
67.0,26657.0,389.0868943110009,4714.090317168733,7419.406371964955,14134.41641655531
68.0,20249.0,158.75523761107667,4595.400695139695,2850.751355805746,12644.092711443483
70.0,15616.0,466.02008124668276,4774.978604853251,7345.335660104296,3029.66565379577
